id,spaceCode,spaceName,floor,spaceStatus
422,4K001,001,4,0
423,4K002,002,4,0
424,4K003,003,4,0
425,4K004,004,4,0
426,4K005,005,4,0
427,4K006,006,4,0
428,4K007,007,4,0
429,4K008,008,4,0
294,4L161,009,4,0
295,4L162,010,4,0
297,4L164,011,4,0
296,4L163,012,4,0
437,4K016,013,4,0
436,4K015,014,4,0
435,4K014,015,4,0
434,4K013,016,4,0
433,4K012,017,4,0
432,4K011,018,4,0
431,4K010,019,4,0
430,4K009,020,4,0
298,4L165,021,4,0
299,4L166,022,4,0
301,4L168,023,4,0
300,4L167,024,4,0
445,4K024,025,4,0
444,4K023,026,4,0
443,4K022,027,4,0
442,4K021,028,4,0
441,4K020,029,4,0
440,4K019,030,4,0
439,4K018,031,4,0
438,4K017,032,4,0
446,4K025,033,4,0
447,4K026,034,4,0
448,4K027,035,4,0
449,4K028,036,4,0
450,4K029,037,4,0
451,4K030,038,4,0
452,4K031,039,4,0
453,4K032,040,4,0
302,4L169,041,4,0
303,4L170,042,4,1
305,4L172,043,4,0
304,4L171,044,4,0
459,4K038,045,4,0
458,4K037,046,4,0
457,4K036,047,4,0
456,4K035,048,4,0
455,4K034,049,4,0
454,4K033,050,4,0
461,4K041,051,4,0
462,4K042,052,4,0
463,4K043,053,4,0
464,4K044,054,4,0
465,4K045,055,4,0
466,4K046,056,4,0
467,4K047,057,4,0
468,4K048,058,4,0
306,4L173,059,4,0
307,4L174,060,4,0
309,4L176,061,4,0
308,4L175,062,4,0
476,4K056,063,4,0
475,4K055,064,4,0
474,4K054,065,4,0
473,4K053,066,4,0
472,4K052,067,4,0
471,4K051,068,4,0
470,4K050,069,4,0
469,4K049,070,4,0
477,4K057,071,4,0
478,4K058,072,4,0
479,4K059,073,4,0
480,4K060,074,4,0
481,4K061,075,4,0
482,4K062,076,4,0
483,4K063,077,4,0
484,4K064,078,4,0
310,4L177,079,4,0
311,4L178,080,4,0
313,4L180,081,4,0
312,4L179,082,4,0
492,4K072,083,4,0
491,4K071,084,4,0
490,4K070,085,4,0
489,4K069,086,4,0
488,4K068,087,4,0
487,4K067,088,4,0
486,4K066,089,4,0
485,4K065,090,4,0
493,4K073,091,4,0
494,4K074,092,4,0
495,4K075,093,4,0
496,4K076,094,4,0
497,4K077,095,4,0
498,4K078,096,4,0
499,4K079,097,4,0
500,4K080,098,4,0
314,4L181,099,4,0
315,4L182,100,4,0
317,4L184,101,4,0
316,4L183,102,4,0
342,4K081,103,4,0
343,4K082,104,4,0
344,4K083,105,4,0
345,4K084,106,4,0
346,4K085,107,4,0
347,4K086,108,4,0
318,4L186,109,4,0
319,4L185,110,4,0
321,4L188,111,4,0
320,4L187,112,4,0
357,4K096,113,4,0
356,4K095,114,4,0
355,4K094,115,4,0
354,4K093,116,4,0
353,4K092,117,4,0
352,4K091,118,4,0
351,4K090,119,4,0
350,4K089,120,4,0
358,4K097,121,4,0
359,4K098,122,4,0
360,4K099,123,4,0
361,4K100,124,4,0
362,4K101,125,4,0
363,4K102,126,4,0
364,4K103,127,4,0
365,4K104,128,4,0
322,4L189,129,4,0
323,4L190,130,4,0
325,4L192,131,4,0
324,4L191,132,4,0
373,4K112,133,4,0
372,4K111,134,4,0
371,4K110,135,4,0
370,4K109,136,4,0
369,4K108,137,4,0
368,4K107,138,4,0
367,4K106,139,4,0
366,4K105,140,4,0
374,4K113,141,4,0
375,4K114,142,4,0
376,4K115,143,4,0
377,4K116,144,4,0
378,4K117,145,4,0
379,4K118,146,4,0
380,4K119,147,4,0
381,4K120,148,4,0
326,4L193,149,4,0
327,4L194,150,4,0
329,4L196,151,4,0
328,4L195,152,4,0
389,4K128,153,4,0
388,4K127,154,4,0
387,4K126,155,4,0
386,4K125,156,4,0
385,4K124,157,4,0
384,4K123,158,4,0
383,4K122,159,4,0
382,4K121,160,4,0
330,4L197,161,4,0
331,4L198,162,4,0
333,4L200,163,4,0
332,4L199,164,4,0
390,4K129,165,4,0
391,4K130,166,4,0
392,4K131,167,4,0
393,4K132,168,4,0
394,4K133,169,4,0
395,4K134,170,4,0
396,4K135,171,4,0
397,4K136,172,4,0
334,4L201,173,4,0
335,4L202,174,4,0
337,4L204,175,4,0
336,4L203,176,4,0
405,4K144,177,4,0
404,4K143,178,4,0
403,4K142,179,4,0
402,4K141,180,4,0
401,4K140,181,4,0
400,4K139,182,4,0
399,4K138,183,4,0
398,4K137,184,4,0
406,4K145,185,4,0
407,4K146,186,4,0
408,4K147,187,4,0
409,4K148,188,4,0
410,4K149,189,4,0
411,4K150,190,4,0
412,4K151,191,4,0
413,4K152,192,4,0
338,4L205,193,4,0
339,4L206,194,4,0
341,4L208,195,4,0
340,4L207,196,4,0
421,4K160,197,4,0
420,4K159,198,4,0
419,4K158,199,4,0
418,4K157,200,4,0
417,4K156,201,4,0
416,4K155,202,4,0
415,4K154,203,4,0
414,4K153,204,4,0
1607,4B229,205,4,0
1605,4B227,206,4,0
1603,4B225,207,4,0
1601,4B223,208,4,0
1599,4B221,209,4,0
1597,4B219,210,4,0
1595,4B217,211,4,0
1593,4B215,212,4,1
1591,4B213,213,4,0
1608,4B230,214,4,0
